date,Open,High,Low,Close,Volume
2014/1/2,79.382858,79.575714,78.860001,79.01857,58671200
2014/1/3,78.980003,79.099998,77.204285,77.28286,98116900
2014/1/6,76.778572,78.114288,76.228569,77.704285,103152700
2014/1/7,77.760002,77.994286,76.845711,77.148575,79302300
2014/1/8,76.972855,77.937141,76.955711,77.637146,64632400
2014/1/9,78.114288,78.122856,76.478569,76.645714,69787200
2014/1/10,77.118568,77.257141,75.872856,76.134285,76244000
2014/1/13,75.701431,77.5,75.697144,76.53286,94623200
2014/1/14,76.888573,78.104286,76.808571,78.055717,83140400
2014/1/15,79.074287,80.028572,78.808571,79.622856,97909700
2014/1/16,79.271431,79.550003,78.811432,79.178574,57319500
2014/1/17,78.78286,78.867142,77.128571,77.238571,106684900
2014/1/21,77.284286,78.581429,77.202858,78.438568,82131700
2014/1/22,78.701431,79.612854,78.258568,78.78714,94996300
2014/1/23,78.562859,79.5,77.830002,79.454285,100809800
2014/1/24,79.14286,79.374283,77.821426,78.010002,107338700
2014/1/27,78.581429,79.257141,77.964287,78.64286,138719700
2014/1/28,72.68,73.571426,71.724289,72.35714,266380800
2014/1/29,71.992859,72.48143,71.23143,71.535713,125702500
2014/1/30,71.791428,72.35714,70.957146,71.397141,169625400
2014/1/31,70.739998,71.647141,70.507141,71.514282,116199300
2014/2/3,71.80143,72.53286,71.328575,71.647141,100366000
2014/2/4,72.264282,72.779999,71.822861,72.684288,94170300
2014/2/5,72.365715,73.611427,72.321426,73.227142,82086200
2014/2/6,72.865715,73.35714,72.544289,73.215714,64441300
2014/2/7,74.482857,74.704285,73.91143,74.239998,92570100
2014/2/10,74.094284,75.998573,74,75.57,86389800
2014/2/11,75.80143,76.821426,75.64286,76.565712,70564200
2014/2/12,76.707146,77.080002,76.177139,76.559998,77025200
2014/2/13,76.379997,77.835716,76.314285,77.775711,76849500
2014/2/14,77.495712,77.997147,77.315712,77.71286,68231100
2014/2/18,78,78.741432,77.944283,77.998573,65062900
2014/2/19,77.821426,78.127144,76.335716,76.767143,78442000
2014/2/20,76.141426,76.714287,75.571426,75.878571,76464500
2014/2/21,76.112854,76.367142,74.942856,75.035713,69696200
2014/2/24,74.735718,75.702858,74.631432,75.364288,72227400
2014/2/25,75.625717,75.652855,74.428574,74.580002,57988000
2014/2/26,74.80143,75,73.657143,73.907143,69054300
2014/2/27,73.877144,75.540001,73.721428,75.381432,75470500
2014/2/28,75.582855,76.10714,74.58857,75.177139,92992200
2014/3/3,74.774284,75.807144,74.687141,75.394287,59695300
2014/3/4,75.85714,76.091431,75.395714,75.891426,64785000
2014/3/5,75.845711,76.39286,75.589996,76.05143,50015700
2014/3/6,76.112854,76.348572,75.442856,75.821426,46372200
2014/3/7,75.870003,75.997147,75.150002,75.777145,55182400
2014/3/10,75.480003,76.190002,75.477142,75.845711,44646000
2014/3/11,76.492859,76.96286,76.084282,76.584282,69806100
2014/3/12,76.358574,76.764282,76,76.658569,49831600
2014/3/13,76.777145,77.094284,75.594284,75.807144,64435700
2014/3/14,75.541428,75.841431,74.714287,74.955711,59299800
2014/3/17,75.385712,75.709999,75.121429,75.248573,49886200
2014/3/18,75.128571,75.995712,75.028572,75.914284,52411800
2014/3/19,76.03714,76.605713,75.571426,75.894287,56189000
2014/3/20,75.69857,76.095711,75.335716,75.528572,52099600
2014/3/21,75.989998,76.25,75.190002,76.124283,93511600
2014/3/24,76.917145,77.214287,76.437141,77.027145,88925200
2014/3/25,77.35714,77.964287,77.084282,77.855713,70573300
2014/3/26,78.074287,78.428574,76.980003,77.111427,74942000
2014/3/27,77.145714,77.35714,76.445717,76.779999,55507900
2014/3/28,76.902855,76.991432,76.321426,76.694283,50141000
2014/3/31,77.03286,77.258568,76.561432,76.677139,42167300
2014/4/1,76.822861,77.410004,76.681427,77.378571,50190000
2014/4/2,77.482857,77.639999,77.18,77.507141,45105200
2014/4/3,77.341431,77.5,76.805717,76.970001,40586000
2014/4/4,77.115715,77.14286,75.797142,75.974289,68812800
2014/4/7,75.431427,75.842857,74.555717,74.781425,72462600
2014/4/8,75.027145,75.160004,74.099998,74.777145,60972100
2014/4/9,74.662857,75.784286,74.574287,75.760002,51542400
2014/4/10,75.811432,76.034286,74.738571,74.78286,59913000
2014/4/11,74.14286,74.690002,73.877144,74.230003,67929400
2014/4/14,74.557144,74.594284,73.887146,74.525711,51418500
2014/4/15,74.324287,74.519997,73.047142,73.994286,66622500
2014/4/16,74.007141,74.441429,73.44857,74.144287,53691400
2014/4/17,74.285713,75.394287,74.171425,74.991432,71083600
2014/4/21,75.048569,76.019997,74.851425,75.881432,45637200
2014/4/22,75.472855,75.975716,75.214287,75.957146,50640800
2014/4/23,75.580002,75.875717,74.921425,74.964287,98735000
2014/4/24,81.172859,81.428574,80.104286,81.110001,189977900
2014/4/25,80.647141,81.71286,80.565712,81.705711,97568800
2014/4/28,81.828575,85.10714,81.792854,84.870003,167371400
2014/4/29,84.82,85.139999,84.215714,84.618568,84344400
2014/4/30,84.662857,85.632858,84.257141,84.298569,114160200
2014/5/1,84.571426,84.971428,83.765717,84.497147,61012000
2014/5/2,84.620003,84.885712,84.244286,84.654289,47878600
2014/5/5,84.305717,85.85714,84.285713,85.851425,71766800
2014/5/6,85.971428,86.344284,84.915718,84.915718,93641100
2014/5/7,85.035713,85.327141,83.961426,84.618568,70716100
2014/5/8,84.035713,84.915718,83.771431,83.998573,57574300
2014/5/9,83.505714,83.75,82.904289,83.648575,72899400
2014/5/12,83.927139,84.808571,83.914284,84.690002,53302200
2014/5/13,84.571426,84.934288,84.385712,84.822861,39934300
2014/5/14,84.632858,85.342857,84.534286,84.83857,41601000
2014/5/15,84.957146,85.228569,84.005714,84.117142,57711500
2014/5/16,84.089996,85.361427,83.628571,85.358574,69064100
2014/5/19,85.407143,86.761429,85.332855,86.370003,79438800
2014/5/20,86.358574,86.628571,85.818573,86.387146,58709000
2014/5/21,86.261429,86.671425,86.008568,86.615715,49214900
2014/5/22,86.657143,87.121429,86.300003,86.752853,50190000
2014/5/23,86.75,87.818573,86.638573,87.732857,58052400
2014/5/27,87.982857,89.408569,87.947144,89.375717,87216500
2014/5/28,89.431427,89.975716,89.111427,89.144287,78870400
2014/5/29,89.692856,90.98143,89.681427,90.76857,94118500
2014/5/30,91.139999,92.024284,89.842857,90.428574,141005200
2014/6/2,90.565712,90.690002,88.928574,89.807144,92337700
2014/6/3,89.779999,91.248573,89.75,91.077141,73177300
2014/6/4,91.062859,92.555717,90.872856,92.117142,83870500
2014/6/5,92.314285,92.767143,91.80143,92.478569,75951400
2014/6/6,92.842857,93.03714,92.067146,92.224289,87484600
2014/6/9,92.699997,93.879997,91.75,93.699997,75415000
2014/6/10,94.730003,95.050003,93.57,94.25,62777000
2014/6/11,94.129997,94.760002,93.470001,93.860001,45681000
2014/6/12,94.040001,94.120003,91.900002,92.290001,54749000
2014/6/13,92.199997,92.440002,90.879997,91.279999,54525000
2014/6/16,91.510002,92.75,91.449997,92.199997,35561000
2014/6/17,92.309998,92.699997,91.800003,92.080002,29726000
2014/6/18,92.269997,92.290001,91.349998,92.18,33514000
2014/6/19,92.290001,92.300003,91.339996,91.860001,35528000
2014/6/20,91.849998,92.550003,90.900002,90.910004,100898000
2014/6/23,91.32,91.620003,90.599998,90.830002,43694000
2014/6/24,90.75,91.739998,90.190002,90.279999,39036000
2014/6/25,90.209999,90.699997,89.650002,90.360001,36869000
2014/6/26,90.370003,91.050003,89.800003,90.900002,32629000
2014/6/27,90.82,92,90.769997,91.980003,64029000
2014/6/30,92.099998,93.730003,92.089996,92.93,49482300
2014/7/1,93.519997,94.07,93.129997,93.519997,38223000
2014/7/2,93.870003,94.059998,93.089996,93.480003,28465000
2014/7/3,93.669998,94.099998,93.199997,94.029999,22891800
2014/7/7,94.139999,95.989998,94.099998,95.970001,56468000
2014/7/8,96.269997,96.800003,93.919998,95.349998,65222000
2014/7/9,95.440002,95.949997,94.760002,95.389999,36436000
2014/7/10,93.760002,95.550003,93.519997,95.040001,39686000
2014/7/11,95.360001,95.889999,94.860001,95.220001,34018000
2014/7/14,95.860001,96.889999,95.650002,96.449997,42810000
2014/7/15,96.800003,96.849998,95.029999,95.32,45477900
2014/7/16,96.970001,97.099998,94.739998,94.779999,53396300
2014/7/17,95.029999,95.279999,92.57,93.089996,57298000
2014/7/18,93.620003,94.739998,93.019997,94.43,49988000
2014/7/21,94.989998,95,93.720001,93.940002,39079000
2014/7/22,94.68,94.889999,94.120003,94.720001,55197000
2014/7/23,95.419998,97.879997,95.169998,97.190002,92918000
2014/7/24,97.040001,97.32,96.419998,97.029999,45729000
2014/7/25,96.849998,97.839996,96.639999,97.669998,43469000
2014/7/28,97.82,99.239998,97.550003,99.019997,55318000
2014/7/29,99.330002,99.440002,98.25,98.379997,43143000
2014/7/30,98.440002,98.699997,97.669998,98.150002,33010000
2014/7/31,97.160004,97.449997,95.330002,95.599998,56843000
2014/8/1,94.900002,96.620003,94.809998,96.129997,48511000
2014/8/4,96.370003,96.580002,95.169998,95.589996,39958000
2014/8/5,95.360001,95.68,94.360001,95.120003,55933000
2014/8/6,94.75,95.480003,94.709999,94.959999,38558000
2014/8/7,94.93,95.949997,94.099998,94.480003,46711000
2014/8/8,94.260002,94.82,93.279999,94.739998,41865000
2014/8/11,95.269997,96.080002,94.839996,95.989998,36585000
2014/8/12,96.040001,96.879997,95.610001,95.970001,33795000
2014/8/13,96.150002,97.239998,96.040001,97.239998,31916000
2014/8/14,97.330002,97.57,96.800003,97.5,28116000
2014/8/15,97.900002,98.190002,96.860001,97.980003,48951000
2014/8/18,98.489998,99.370003,97.980003,99.160004,47572000
2014/8/19,99.410004,100.68,99.32,100.529999,69399000
2014/8/20,100.440002,101.089996,99.949997,100.57,52699000
2014/8/21,100.57,100.940002,100.110001,100.580002,33478000
2014/8/22,100.290001,101.470001,100.190002,101.32,44184000
2014/8/25,101.790001,102.169998,101.279999,101.540001,40270000
2014/8/26,101.419998,101.5,100.860001,100.889999,33152000
2014/8/27,101.019997,102.57,100.699997,102.129997,52369000
2014/8/28,101.589996,102.779999,101.559998,102.25,68460000
2014/8/29,102.860001,102.900002,102.199997,102.5,44595000
2014/9/2,103.059998,103.739998,102.720001,103.300003,53564000
2014/9/3,103.099998,103.199997,98.580002,98.940002,125421000
2014/9/4,98.849998,100.089996,97.790001,98.120003,85718000
2014/9/5,98.800003,99.389999,98.309998,98.970001,58457000
2014/9/8,99.300003,99.309998,98.050003,98.360001,46356700
2014/9/9,99.080002,103.080002,96.139999,97.989998,189846300
2014/9/10,98.010002,101.110001,97.760002,101,100869600
2014/9/11,100.410004,101.440002,99.620003,101.43,62353100
2014/9/12,101.209999,102.190002,101.080002,101.660004,62626100
2014/9/15,102.809998,103.050003,101.440002,101.629997,61316500
2014/9/16,99.800003,101.260002,98.889999,100.860001,66908100
2014/9/17,101.269997,101.800003,100.589996,101.580002,60926500
2014/9/18,101.93,102.349998,101.559998,101.790001,37299400
2014/9/19,102.290001,102.349998,100.5,100.959999,70902400
2014/9/22,101.800003,102.139999,100.580002,101.059998,52788400
2014/9/23,100.599998,102.940002,100.540001,102.639999,63402200
2014/9/24,102.160004,102.849998,101.199997,101.75,60171800
2014/9/25,100.510002,100.709999,97.720001,97.870003,100092000
